,Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population_x, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Continent,Least Developed,Life Expectancy,Population_y,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,Military expenditure,People practicing open defecation,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita
0,Albania,2015,Developing,77.8,74.0,0,4.6,364.9752287,99.0,0,58.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,Europe,False,78.025,2880703,1.60377515,4.89631176,2309.366503,28.8024635,11658.90552,56.9,1.162303864,0.109372147,93.39432534,21.7,1.48
1,Albania,2014,Developing,77.5,8.0,0,4.51,428.7490668,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2,Europe,False,77.813,2889104,1.668337371,5.50347328,2533.252829,28.75051095,11259.26751,54.3,1.346515991,0.139691059,93.02005646,21.1,1.29
2,Albania,2013,Developing,77.2,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,Europe,False,77.554,2895092,1.533630039,5.38561106,2118.327776,28.69855839,10570.96373,51.8,1.408982101,0.236762285,92.63159485,20.5,1.34
3,Albania,2012,Developing,76.9,86.0,0,5.14,412.4433563,99.0,9,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,Europe,False,77.252,2900401,1.50324046,5.05526543,2205.70392,28.64660584,10526.25918,49.4,1.487082577,0.282042419,92.22877874,19.9,1.34
4,Albania,2011,Developing,76.6,88.0,0,5.37,437.0621,99.0,28,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,Europe,False,76.914,2905195,1.66942319,4.79534149,1943.343354,28.59465328,10207.76757,47.0,1.528266338,0.32823482,91.81088697,19.3,1.88
5,Albania,2010,Developing,76.2,91.0,1,5.28,41.82275719,99.0,10,54.3,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5,Europe,False,76.562,2913021,1.527623663,4.7457962,1835.684072,28.54270073,9628.721962,45.0,1.558591893,0.375274153,91.37947821,18.7,1.71
6,Albania,2009,Developing,76.1,91.0,1,5.79,348.0559517,98.0,0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2,Europe,False,76.221,2927519,1.441493562,4.6022253,1617.744156,28.49609489,8813.029461,41.2,1.51721714,0.423170008,90.93441293,18.1,2.20543
7,Albania,2008,Developing,75.3,1.0,1,5.61,36.62206845,99.0,0,52.6,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0,Europe,False,75.912,2947314,1.384311249,5.1390624,1213.124369,28.44948905,8228.348041,23.86,1.984868857,0.471902868,90.47615076,17.5,2.12835
8,Albania,2007,Developing,75.9,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6,Europe,False,75.646,2970017,1.39393137,6.31683397,1218.360146,28.40288321,7283.342638,15.03611541,1.820765344,0.521500352,90.00418728,16.9,1.94369
9,Albania,2006,Developing,74.2,99.0,1,5.31,3.3021542,98.0,68,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4,Europe,False,75.423,2992547,1.339995739,6.00927734,1722.07285,28.35627737,6566.572828,9.609991316,1.567769089,0.571934833,89.51913233,16.2,1.7933
