City;Couleur;Forme;State;Time;Date;Heure
Ithaca;;TRIANGLE;NY;6/1/1930 22:00;1/6/1930;22:00
Willingboro;;OTHER;NJ;6/30/1930 20:00;30/6/1930;20:00
Holyoke;;OVAL;CO;2/15/1931 14:00;15/2/1931;14:00
Abilene;;DISK;KS;6/1/1931 13:00;1/6/1931;13:00
New York Worlds Fair;;LIGHT;NY;4/18/1933 19:00;18/4/1933;19:00
Valley City;;DISK;ND;9/15/1934 15:30;15/9/1934;15:30
Crater Lake;;CIRCLE;CA;6/15/1935 0:00;15/6/1935;0:00
Alma;;DISK;MI;7/15/1936 0:00;15/7/1936;0:00
Eklutna;;CIGAR;AK;10/15/1936 17:00;15/10/1936;17:00
Hubbard;;CYLINDER;OR;6/15/1937 0:00;15/6/1937;0:00
Fontana;;LIGHT;CA;8/15/1937 21:00;15/8/1937;21:00
Waterloo;;FIREBALL;AL;6/1/1939 20:00;1/6/1939;20:00
Belton;RED;SPHERE;SC;6/30/1939 20:00;30/6/1939;20:00
Keokuk;;OVAL;IA;7/7/1939 2:00;7/7/1939;2:00
Ludington;;DISK;MI;6/1/1941 13:00;1/6/1941;13:00
Forest Home;;CIRCLE;CA;7/2/1941 11:30;2/7/1941;11:30
Los Angeles;;VARIOUS;CA;2/25/1942 0:00;25/2/1942;0:00
Hapeville;;VARIOUS;GA;6/1/1942 22:30;1/6/1942;22:30
Oneida;;RECTANGLE;TN;7/15/1942 1:00;15/7/1942;1:00
Bering Sea;RED;OTHER;AK;4/30/1943 23:00;30/4/1943;23:00
Nebraska;;DISK;NE;6/1/1943 15:00;1/6/1943;15:00
;;VARIOUS;LA;8/15/1943 0:00;15/8/1943;0:00
;;LIGHT;LA;8/15/1943 0:00;15/8/1943;0:00
Owensboro;;RECTANGLE;KY;10/15/1943 11:00;15/10/1943;11:00
Wilderness;;DISK;WV;1/1/1944 10:00;1/1/1944;10:00
San Diego;;CIGAR;CA;1/1/1944 12:00;1/1/1944;12:00
Wilderness;;DISK;WV;1/1/1944 12:00;1/1/1944;12:00
Clovis;;DISK;NM;4/2/1944 11:00;2/4/1944;11:00
Los Alamos;;DISK;NM;6/1/1944 12:00;1/6/1944;12:00
Ft. Duschene;;DISK;UT;6/30/1944 10:00;30/6/1944;10:00
South Kingstown;;SPHERE;RI;7/1/1944 20:00;1/7/1944;20:00
North Tampa;;CYLINDER;FL;7/15/1944 13:00;15/7/1944;13:00
Ft. Lee;;CIGAR;VA;1/1/1945 12:00;1/1/1945;12:00
Salinas AFB;;DISK;CA;6/1/1945 12:00;1/6/1945;12:00
Jasper;;FIREBALL;FL;6/1/1945 13:30;1/6/1945;13:30
Winston-Salem;;DISK;NC;6/7/1945 7:00;7/6/1945;7:00
Portsmouth;RED;FORMATION;VA;7/10/1945 1:30;10/7/1945;1:30
Dallas;;SPHERE;TX;7/15/1945 14:00;15/7/1945;14:00
Huntington Beach;;DISK;CA;8/8/1945 12:00;8/8/1945;12:00
San Antonio;;OVAL;NM;8/16/1945 11:30;16/8/1945;11:30
Roswell;;SPHERE;NM;12/15/1945 2:00;15/12/1945;2:00
New York City;;DISK;NY;1/8/1946 2:00;8/1/1946;2:00
Merced;;SPHERE;CA;2/1/1946 17:00;1/2/1946;17:00
Alice;;DISK;TX;3/15/1946 15:30;15/3/1946;15:30
Blairsden;GREEN;SPHERE;CA;6/30/1946 19:00;30/6/1946;19:00
Index;;FIREBALL;WA;6/30/1946 21:00;30/6/1946;21:00
South Portland;;OVAL;ME;7/1/1946 13:30;1/7/1946;13:30
Oak Lawn;;FORMATION;IL;9/12/1946 0:00;12/9/1946;0:00
Dome;;FLASH;AZ;9/30/1946 20:30;30/9/1946;20:30
Conroe;;OTHER;TX;1/10/1947 20:00;10/1/1947;20:00
Syracuse;;DISK;NY;2/20/1947 22:15;20/2/1947;22:15
Miami;;OTHER;FL;4/15/1947 14:00;15/4/1947;14:00
San Deigo;;TRIANGLE;CA;4/15/1947 23:00;15/4/1947;23:00
Minden;;VARIOUS;LA;6/1/1947 0:00;1/6/1947;0:00
Cleveland;;LIGHT;OH;6/1/1947 2:30;1/6/1947;2:30
Espanola;;CIRCLE;NM;6/1/1947 17:00;1/6/1947;17:00
Oroville;;VARIOUS;CA;6/1/1947 18:00;1/6/1947;18:00
Oakmont;;VARIOUS;PA;6/13/1947 20:18;13/6/1947;20:18
Winona;;DISK;MN;6/15/1947 10:00;15/6/1947;10:00
Gackle;;OTHER;ND;6/15/1947 14:00;15/6/1947;14:00
Madison;;DISK;WI;6/15/1947 18:00;15/6/1947;18:00
Hayward;;CIRCLE;CA;6/20/1947 12:00;20/6/1947;12:00
Tacoma;;OTHER;WA;6/30/1947 0:00;30/6/1947;0:00
Baltimore;;OVAL;MD;6/30/1947 18:00;30/6/1947;18:00
Cashmere;;FORMATION;WA;7/1/1947 20:00;1/7/1947;20:00
Maywood;;DISK;CA;7/1/1947 20:00;1/7/1947;20:00
Wexford;BLUE;VARIOUS;PA;7/1/1947 20:00;1/7/1947;20:00
Sioux Falls;;VARIOUS;SD;7/4/1947 0:00;4/7/1947;0:00
Seattle;;OVAL;WA;7/4/1947 17:30;4/7/1947;17:30
Dell Rapids;;VARIOUS;SD;7/5/1947 0:00;5/7/1947;0:00
Philadelphia;;DISK;PA;7/5/1947 11:30;5/7/1947;11:30
Roswell;;VARIOUS;NM;7/7/1947 0:00;7/7/1947;0:00
Johnston City;;DISK;IL;7/9/1947 20:00;9/7/1947;20:00
Roswell;;VARIOUS;NM;7/11/1947 0:00;11/7/1947;0:00
Syracuse;;CIGAR;NY;7/14/1947 10:30;14/7/1947;10:30
Richmond;;CIRCLE;CA;7/14/1947 11:00;14/7/1947;11:00
Las Vegas;;DISK;NV;7/15/1947 10:00;15/7/1947;10:00
Keeneyville;;FORMATION;IL;7/15/1947 12:00;15/7/1947;12:00
Clintwood;;CYLINDER;VA;7/15/1947 15:00;15/7/1947;15:00
Hazelton;;DISK;ID;7/15/1947 15:00;15/7/1947;15:00
Minneapolis;;DISK;MN;7/15/1947 17:00;15/7/1947;17:00
Morehouse;;CYLINDER;MO;7/15/1947 21:00;15/7/1947;21:00
San Jose;BLUE;CHEVRON;CA;7/15/1947 21:00;15/7/1947;21:00
Raton;;OVAL;NM;7/20/1947 22:00;20/7/1947;22:00
Modesto;BLUE;DISK;CA;8/8/1947 22:00;8/8/1947;22:00
Green Valley;;VARIOUS;WI;8/10/1947 20:00;10/8/1947;20:00
Henrietta;;LIGHT;OK;8/12/1947 1:00;12/8/1947;1:00
Saranac Lake;;DISK;NY;8/12/1947 22:00;12/8/1947;22:00
Proctor;;CIGAR;OK;8/15/1947 20:15;15/8/1947;20:15
Whitmore Lake;;CIGAR;MI;12/24/1947 21:00;24/12/1947;21:00
Kelseyville;;DISK;CA;4/30/1948 12:00;30/4/1948;12:00
Scipio;RED;SPHERE;IN;5/10/1948 19:00;10/5/1948;19:00
Borger;;DISK;TX;6/15/1948 16:00;15/6/1948;16:00
Baltimore;;OVAL;MD;6/30/1948 0:00;30/6/1948;0:00
Jim Ridge;;VARIOUS;WV;6/30/1948 8:00;30/6/1948;8:00
Ojai;;LIGHT;CA;7/15/1948 22:00;15/7/1948;22:00
New York City;;CIRCLE;NY;8/1/1948 2:00;1/8/1948;2:00
Conshohocken;;OVAL;PA;8/15/1948 12:00;15/8/1948;12:00
Sharpsburg;;CIRCLE;MD;12/12/1948 23:30;12/12/1948;23:30
Seattle;;DISK;WA;4/10/1949 15:00;10/4/1949;15:00
Oak Ridge;;OTHER;WV;5/1/1949 14:00;1/5/1949;14:00
Grays;;LIGHT;SC;5/15/1949 6:30;15/5/1949;6:30
Los Angeles;;CIRCLE;CT;6/4/1949 10:00;4/6/1949;10:00
Anchorage;;DISK;AK;6/10/1949 21:00;10/6/1949;21:00
Knoxville;;OTHER;TN;6/30/1949 15:00;30/6/1949;15:00
Salem;;CIGAR;OR;6/30/1949 21:00;30/6/1949;21:00
Fairbanks;;DISK;AK;7/1/1949 11:00;1/7/1949;11:00
Marion;;FORMATION;AL;7/1/1949 16:00;1/7/1949;16:00
Booneville;;VARIOUS;MS;7/15/1949 20:30;15/7/1949;20:30
Excelsior;;CIRCLE;MN;8/15/1949 0:00;15/8/1949;0:00
Mill Valley;;LIGHT;CA;8/15/1949 21:00;15/8/1949;21:00
Tarrant City;ORANGE;CIRCLE;AL;8/15/1949 22:00;15/8/1949;22:00
Steilacoom;;DISK;WA;8/25/1949 19:00;25/8/1949;19:00
Mt Gilead;;CIRCLE;OH;9/15/1949 21:00;15/9/1949;21:00
Post;;DISK;TX;9/15/1949 21:00;15/9/1949;21:00
San Marcos;;CYLINDER;TX;10/10/1949 20:30;10/10/1949;20:30
Lackland AFB;;LIGHT;TX;10/10/1949 21:00;10/10/1949;21:00
Baltimore;;CIGAR;MD;10/15/1949 20:00;15/10/1949;20:00
Mount Hope;;VARIOUS;WV;1/1/1950 22:00;1/1/1950;22:00
New York City;;OVAL;NY;1/2/1950 0:00;2/1/1950;0:00
Roswell;RED;VARIOUS;NM;3/22/1950 0:00;22/3/1950;0:00
Arkansas;;DISK;AR;4/15/1950 8:00;15/4/1950;8:00
Waynesborough;;DISK;VA;4/15/1950 14:00;15/4/1950;14:00
Fort Lewis;;TRIANGLE;WA;5/12/1950 14:00;12/5/1950;14:00
Crowder;;VARIOUS;MS;6/1/1950 0:00;1/6/1950;0:00
Philadelphia;;DISK;MS;6/1/1950 16:00;1/6/1950;16:00
Pittsburgh;;OVAL;PA;6/1/1950 20:00;1/6/1950;20:00
Kensington;;OVAL;MD;6/7/1950 20:00;7/6/1950;20:00
Kansas City;;DISK;MO;6/8/1950 10:00;8/6/1950;10:00
Napa;GREEN;DISK;CA;6/10/1950 0:00;10/6/1950;0:00
Grosse Pointe Park;;OVAL;MI;6/15/1950 13:00;15/6/1950;13:00
Bonifay;;DISK;FL;6/15/1950 20:00;15/6/1950;20:00
Fort Worth;;DISK;TX;6/15/1950 20:00;15/6/1950;20:00
Booneville;;DISK;MS;6/20/1950 10:00;20/6/1950;10:00
Galveston;;SPHERE;TX;6/20/1950 17:00;20/6/1950;17:00
Lac Du Flambeau;;DISK;WI;6/30/1950 16:00;30/6/1950;16:00
Florence;;DISK;CO;6/30/1950 17:30;30/6/1950;17:30
Florence;;LIGHT;CO;6/30/1950 17:30;30/6/1950;17:30
Coeur d'Alene;ORANGE;CIGAR;ID;7/2/1950 13:00;2/7/1950;13:00
Bay St. Louis;;LIGHT;MS;7/2/1950 21:00;2/7/1950;21:00
East Palestine;;LIGHT;OH;7/10/1950 20:30;10/7/1950;20:30
Newark;;SPHERE;NJ;7/15/1950 21:30;15/7/1950;21:30
Los Padres National Forest;;FORMATION;CA;7/15/1950 23:00;15/7/1950;23:00
Smithport;;DISK;PA;7/20/1950 21:30;20/7/1950;21:30
Louisville;;OTHER;KY;8/1/1950 4:00;1/8/1950;4:00
Stanfield;;DISK;OR;8/15/1950 14:00;15/8/1950;14:00
Pikeville;;DISK;KY;10/1/1950 11:00;1/10/1950;11:00
Sandy Hook;;TRIANGLE;NJ;10/15/1950 15:00;15/10/1950;15:00
Half Moon Bay;;OTHER;CA;12/12/1950 22:00;12/12/1950;22:00
Palm Springs;;CIGAR;CA;1/20/1951 4:30;20/1/1951;4:30
Thompsonville;;DISK;CT;2/3/1951 22:00;3/2/1951;22:00
Los Angeles;;DISK;CA;2/15/1951 11:00;15/2/1951;11:00
Irving;BLUE;DISK;KS;4/15/1951 0:30;15/4/1951;0:30
Fort Sill;;OVAL;OK;5/15/1951 3:00;15/5/1951;3:00
Oklahoma;;CIGAR;OK;6/1/1951 19:00;1/6/1951;19:00
Jasper;;OVAL;NC;6/3/1951 13:00;3/6/1951;13:00
Mount Pinos;;DISK;CA;6/6/1951 2:00;6/6/1951;2:00
Greenville;GREEN;DISK;MS;6/15/1951 20:30;15/6/1951;20:30
Jackson Heights;;DISK;NY;6/30/1951 7:00;30/6/1951;7:00
Birmingham;;VARIOUS;AL;6/30/1951 19:00;30/6/1951;19:00
Otis Orchards;;DISK;WA;7/1/1951 3:00;1/7/1951;3:00
Atlanta;;VARIOUS;GA;7/1/1951 14:00;1/7/1951;14:00
Calaveras County;;DISK;CA;7/3/1951 3:00;3/7/1951;3:00
Green River;GREEN;SPHERE;WY;7/3/1951 12:00;3/7/1951;12:00
Provo;BLUE;DISK;UT;7/10/1951 23:30;10/7/1951;23:30
Spokane Valley;;SPHERE;WA;7/15/1951 14:00;15/7/1951;14:00
Sunland;;CIRCLE;CA;8/10/1951 1:00;10/8/1951;1:00
Altoona;;DISK;PA;8/15/1951 13:00;15/8/1951;13:00
Jacksonville;;DISK;FL;10/15/1951 20:00;15/10/1951;20:00
Holloman AFB;;CIRCLE;NM;11/15/1951 6:00;15/11/1951;6:00
Salt Lake City;;VARIOUS;UT;1/1/1952 0:00;1/1/1952;0:00
