Code,Libellé,Loyer d'annonce par m² charges comprises pour un appartement type du parc privé locatif 2022
1001,L'Abergement-Clémenciat,11.0
1002,L'Abergement-de-Varey,9.3
1004,Ambérieu-en-Bugey,11.2
1005,Ambérieux-en-Dombes,10.8
1006,Ambléon,9.2
1007,Ambronay,9.3
1008,Ambutrix,10.6
1009,Andert-et-Condon,9.3
1010,Anglefort,10.4
1011,Apremont,8.5
1012,Aranc,7.7
1013,Arandas,8.7
1014,Arbent,8.5
1015,Arboys en Bugey,9.2
1016,Arbigny,7.8
1017,Argis,9.3
1019,Armix,8.7
1021,Ars-sur-Formans,10.8
1022,Artemare,8.7
1023,Asnières-sur-Saône,9.5
1024,Attignat,11.0
1025,Bâgé-Dommartin,8.8
1026,Bâgé-le-Châtel,8.3
1027,Balan,12.1
1028,Baneins,11.0
1029,Beaupont,7.5
1030,Beauregard,9.9
1031,Bellignat,9.3
1032,Béligneux,12.7
1033,Valserhône,11.9
1034,Belley,9.3
1035,Belleydoux,7.7
1036,Valromey-sur-Séran,8.7
1037,Bénonces,9.3
1038,Bény,7.6
1039,Béon,10.0
1040,Béréziat,7.8
1041,Bettant,10.6
1042,Bey,9.3
1043,Beynost,13.0
1044,Billiat,10.4
1045,Birieux,11.8
1046,Biziat,8.8
1047,Blyes,11.4
1049,La Boisse,11.8
1050,Boissey,9.0
1051,Bolozon,8.2
1052,Bouligneux,9.8
1053,Bourg-en-Bresse,10.6
1054,Bourg-Saint-Christophe,12.1
1056,Boyeux-Saint-Jérôme,7.7
1057,Boz,9.5
1058,Brégnier-Cordon,9.5
1060,Brénod,8.0
1061,Brens,9.2
1062,Bressolles,12.1
1063,Brion,8.0
1064,Briord,9.6
1065,Buellas,8.5
1066,La Burbanche,8.7
1067,Ceignes,8.2
1068,Cerdon,7.7
1069,Certines,8.5
1071,Cessy,19.2
1072,Ceyzériat,9.8
1073,Ceyzérieu,10.0
1074,Chalamont,10.2
1075,Chaleins,10.8
1076,Chaley,9.3
1077,Challes-la-Montagne,7.7
1078,Challex,18.8
1079,Champagne-en-Valromey,10.4
1080,Champdor-Corcelles,8.0
1081,Champfromier,10.4
1082,Chanay,10.4
1083,Chaneins,11.0
1084,Chanoz-Châtenay,9.5
1085,La Chapelle-du-Châtelard,9.8
1087,Charix,8.5
1088,Charnoz-sur-Ain,13.0
1089,Château-Gaillard,10.6
1090,Châtenay,9.5
1092,Châtillon-la-Palud,11.4
1093,Châtillon-sur-Chalaronne,10.4
1094,Chavannes-sur-Reyssouze,7.8
1095,Nivigne et Suran,7.6
1096,Chaveyriat,9.3
1098,Chazey-Bons,8.7
1099,Chazey-sur-Ain,11.4
1100,Cheignieu-la-Balme,8.7
1101,Chevillard,8.0
1102,Chevroux,9.0
1103,Chevry,17.6
1104,Chézery-Forens,10.4
1105,Civrieux,12.6
1106,Cize,7.6
1107,Cleyzieu,9.3
1108,Coligny,7.0
1109,Collonges,16.6
1110,Colomieu,9.2
1111,Conand,9.3
1112,Condamine,8.0
1113,Condeissiat,9.5
1114,Confort,10.4
1115,Confrançon,9.5
1116,Contrevoz,9.3
1117,Conzieu,9.2
1118,Corbonod,10.4
1121,Corlier,7.7
1123,Cormoranche-sur-Saône,9.3
1124,Cormoz,8.2
1125,Corveissiat,8.2
1127,Courmangoux,6.6
1128,Courtes,7.8
1129,Crans,11.4
1130,Bresse Vallons,9.7
1133,Cressin-Rochefort,10.0
1134,Crottet,8.8
1135,Crozet,17.7
1136,Cruzilles-lès-Mépillat,8.8
1138,Culoz,9.8
1139,Curciat-Dongalon,7.8
1140,Curtafond,9.7
1141,Cuzieu,10.0
1142,Dagneux,12.2
1143,Divonne-les-Bains,23.7
1145,Dompierre-sur-Veyle,9.3
1146,Dompierre-sur-Chalaronne,11.0
1147,Domsure,8.2
1148,Dortan,7.7
1149,Douvres,9.3
1150,Drom,7.6
1151,Druillat,9.3
1152,Échallon,8.5
1153,Échenevex,19.5
1155,Évosges,9.3
1156,Faramans,11.8
1157,Fareins,10.1
1158,Farges,16.2
1159,Feillens,9.6
1160,Ferney-Voltaire,20.3
1162,Flaxieu,10.0
1163,Foissiat,8.8
1165,Francheleins,10.1
1166,Frans,11.1
1167,Garnerans,8.8
1169,Genouilleux,11.0
1170,Béard-Géovreissiat,8.5
1171,Géovreisset,8.5
1173,Gex,18.1
1174,Giron,10.4
1175,Gorrevod,7.8
1177,Grand-Corent,7.6
1179,Grièges,9.3
1180,Grilly,19.5
1181,Groissiat,8.5
1183,Guéreins,11.0
1184,Hautecourt-Romanèche,8.2
1185,Plateau d'Hauteville,8.0
1187,Haut Valromey,10.4
1188,Illiat,9.3
1189,Injoux-Génissiat,10.4
1190,Innimond,9.3
1191,Izenave,8.0
1192,Izernore,9.4
1193,Izieu,9.5
1194,Jassans-Riottier,12.0
1195,Jasseron,7.6
1196,Jayat,9.0
1197,Journans,8.5
1198,Joyeux,11.4
1199,Jujurieux,8.2
1200,Labalme,8.2
1202,Lagnieu,10.5
1203,Laiz,8.8
1204,Le Poizat-Lalleyriat,8.5
1206,Lantenay,8.0
1207,Lapeyrouse,10.8
1208,Lavours,10.0
1209,Léaz,12.7
1210,Lélex,9.2
1211,Lent,9.4
1212,Lescheroux,8.2
1213,Leyment,10.6
1214,Leyssard,8.2
1215,Surjoux-Lhopital,10.4
1216,Lhuis,9.3
1219,Lompnas,8.7
1224,Loyettes,11.3
1225,Lurcy,10.1
1227,Magnieu,10.0
1228,Maillat,8.0
1229,Malafretaz,9.7
1230,Mantenay-Montlin,7.8
1231,Manziat,8.8
1232,Marboz,7.7
1233,Marchamp,9.3
1234,Marignieu,8.7
1235,Marlieux,10.0
1236,Marsonnas,9.0
1237,Martignat,8.2
1238,Massieux,12.6
1239,Massignieu-de-Rives,10.0
1240,Matafelon-Granges,8.2
1241,Meillonnas,6.6
1242,Mérignat,7.7
1243,Messimy-sur-Saône,10.1
1244,Meximieux,12.2
1245,Bohas-Meyriat-Rignat,8.5
1246,Mézériat,9.8
1247,Mijoux,9.2
1248,Mionnay,12.6
1249,Miribel,12.8
1250,Misérieux,12.6
1252,Mogneneins,11.0
1254,Montagnat,10.0
1255,Montagnieu,9.6
1257,Montanges,10.4
1258,Montceaux,10.1
1259,Montcet,9.7
1260,Le Montellier,11.8
1261,Monthieux,12.6
1262,Montluel,12.3
1263,Montmerle-sur-Saône,10.7
1264,Montracol,8.5
1265,Montréal-la-Cluse,9.6
1266,Montrevel-en-Bresse,9.8
1267,Nurieux-Volognat,8.5
1268,Murs-et-Gélignieux,9.5
1269,Nantua,8.0
1272,Neuville-les-Dames,8.5
1273,Neuville-sur-Ain,9.3
1274,Les Neyrolles,8.5
1275,Neyron,12.6
1276,Niévroz,11.8
1277,Nivollet-Montgriffon,9.3
1279,Oncieu,9.3
1280,Ordonnaz,8.7
1281,Ornex,19.1
1282,Outriaz,8.0
1283,Oyonnax,9.7
1284,Ozan,9.0
1285,Parcieux,12.1
1286,Parves et Nattages,10.0
1288,Péron,17.8
1289,Péronnas,9.2
1290,Pérouges,11.8
1291,Perrex,9.7
1293,Peyriat,8.0
1294,Peyrieu,9.5
1295,Peyzieux-sur-Saône,11.0
1296,Pirajoux,8.2
1297,Pizay,12.1
1298,Plagne,8.5
1299,Le Plantay,11.4
1301,Polliat,10.1
1302,Pollieu,10.0
1303,Poncin,8.6
1304,Pont-d'Ain,8.4
1305,Pont-de-Vaux,9.5
1306,Pont-de-Veyle,8.9
1307,Port,8.5
1308,Pougny,16.2
1309,Pouillat,7.6
1310,Prémeyzel,9.5
1311,Prémillieu,8.7
1313,Prévessin-Moëns,20.8
1314,Priay,10.6
1317,Ramasse,7.6
1318,Rancé,12.6
1319,Relevant,11.0
1320,Replonges,9.3
1321,Revonnas,10.0
1322,Reyrieux,11.1
1323,Reyssouze,7.8
1325,Rignieux-le-Franc,11.8
1328,Romans,9.8
1329,Rossillon,8.7
1330,Ruffieu,8.0
1331,Saint-Alban,7.7
1332,Saint-André-de-Bâgé,8.8
1333,Saint-André-de-Corcy,12.7
1334,Saint-André-d'Huiriat,8.8
1335,Saint-André-le-Bouchoux,9.5
1336,Saint-André-sur-Vieux-Jonc,9.5
1337,Saint-Bénigne,7.8
1338,Groslée-Saint-Benoit,9.3
1339,Saint-Bernard,11.1
1342,Sainte-Croix,12.1
1343,Saint-Cyr-sur-Menthon,9.0
1344,Saint-Denis-lès-Bourg,9.2
1345,Saint-Denis-en-Bugey,10.2
1346,Saint-Didier-d'Aussiat,9.0
1347,Saint-Didier-de-Formans,11.1
1348,Saint-Didier-sur-Chalaronne,9.2
1349,Saint-Éloi,11.8
1350,Saint-Étienne-du-Bois,8.3
1351,Saint-Étienne-sur-Chalaronne,9.3
1352,Saint-Étienne-sur-Reyssouze,7.8
1353,Sainte-Euphémie,11.1
1354,Saint-Genis-Pouilly,18.8
1355,Saint-Genis-sur-Menthon,9.0
1356,Saint-Georges-sur-Renon,9.8
1357,Saint-Germain-de-Joux,8.5
1358,Saint-Germain-les-Paroisses,9.2
1359,Saint-Germain-sur-Renon,9.8
1360,Saint-Jean-de-Gonville,17.6
1361,Saint-Jean-de-Niost,13.0
1362,Saint-Jean-de-Thurigneux,12.6
