web-scraper-order,web-scraper-start-url,cities,cities-href,price,ville,prix
1683113208-151,https://www.efficity.com/prix-immobilier-m2/,Évreux (27),https://www.efficity.com/prix-immobilier-m2/v_evreux_27000/,1 790 €,Évreux,1790.0
1683113210-152,https://www.efficity.com/prix-immobilier-m2/,Villeurbanne (69),https://www.efficity.com/prix-immobilier-m2/v_villeurbanne_69100/,3 870 €,Villeurbanne,3870.0
1683113212-153,https://www.efficity.com/prix-immobilier-m2/,Vannes (56),https://www.efficity.com/prix-immobilier-m2/v_vannes_56000/,3 970 €,Vannes,3970.0
1683113215-154,https://www.efficity.com/prix-immobilier-m2/,Tours (37),https://www.efficity.com/prix-immobilier-m2/v_tours_37/,3 080 €,Tours,3080.0
1683113217-155,https://www.efficity.com/prix-immobilier-m2/,Tourcoing (59),https://www.efficity.com/prix-immobilier-m2/v_tourcoing_59200/,1 850 €,Tourcoing,1850.0
1683113219-156,https://www.efficity.com/prix-immobilier-m2/,Toulouse (31),https://www.efficity.com/prix-immobilier-m2/v_toulouse_31/,3 450 €,Toulouse,3450.0
1683113221-157,https://www.efficity.com/prix-immobilier-m2/,Toulon (83),https://www.efficity.com/prix-immobilier-m2/v_toulon_83/,2 650 €,Toulon,2650.0
1683113223-158,https://www.efficity.com/prix-immobilier-m2/,Strasbourg (67),https://www.efficity.com/prix-immobilier-m2/v_strasbourg_67/,3 710 €,Strasbourg,3710.0
1683113225-159,https://www.efficity.com/prix-immobilier-m2/,Saint-Étienne (42),https://www.efficity.com/prix-immobilier-m2/v_saint-etienne_42/,1 260 €,Saint-Étienne,1260.0
1683113227-160,https://www.efficity.com/prix-immobilier-m2/,Saint-Nazaire (44),https://www.efficity.com/prix-immobilier-m2/v_saint-nazaire_44600/,2 960 €,Saint-Nazaire,2960.0
1683113229-161,https://www.efficity.com/prix-immobilier-m2/,Rouen (76),https://www.efficity.com/prix-immobilier-m2/v_rouen_76/,2 750 €,Rouen,2750.0
1683113232-162,https://www.efficity.com/prix-immobilier-m2/,Roubaix (59),https://www.efficity.com/prix-immobilier-m2/v_roubaix_59100/,1 900 €,Roubaix,1900.0
1683113234-163,https://www.efficity.com/prix-immobilier-m2/,La Rochelle (17),https://www.efficity.com/prix-immobilier-m2/v_la-rochelle_17000/,5 250 €,La Rochelle,5250.0
1683113236-164,https://www.efficity.com/prix-immobilier-m2/,Rennes (35),https://www.efficity.com/prix-immobilier-m2/v_rennes_35/,3 810 €,Rennes,3810.0
1683113238-165,https://www.efficity.com/prix-immobilier-m2/,Reims (51),https://www.efficity.com/prix-immobilier-m2/v_reims_51100/,2 720 €,Reims,2720.0
1683113240-166,https://www.efficity.com/prix-immobilier-m2/,Quimper (29),https://www.efficity.com/prix-immobilier-m2/v_quimper_29000/,2 200 €,Quimper,2200.0
1683113246-167,https://www.efficity.com/prix-immobilier-m2/,Porto-Vecchio (2A),https://www.efficity.com/prix-immobilier-m2/v_porto-vecchio_20137/,5 210 €,Porto-Vecchio,5210.0
1683113248-168,https://www.efficity.com/prix-immobilier-m2/,Poitiers (86),https://www.efficity.com/prix-immobilier-m2/v_poitiers_86000/,2 240 €,Poitiers,2240.0
1683113250-169,https://www.efficity.com/prix-immobilier-m2/,Perpignan (66),https://www.efficity.com/prix-immobilier-m2/v_perpignan_66/,1 610 €,Perpignan,1610.0
1683113252-170,https://www.efficity.com/prix-immobilier-m2/,Pau (64),https://www.efficity.com/prix-immobilier-m2/v_pau_64000/,2 130 €,Pau,2130.0
1683113256-171,https://www.efficity.com/prix-immobilier-m2/,Orléans (45),https://www.efficity.com/prix-immobilier-m2/v_orleans_45/,2 730 €,Orléans,2730.0
